JET Source Actions,Show Source Quick Menu,Alt+Shift+S,Editing JET Source,org.eclipse.codegen.ui.jet.source.quickmenu
Navigate,Next Sub-Tab,Alt+PageDown,In Dialogs and Windows,org.eclipse.ui.navigate.nextSubTab
Run/Debug,Debug Ant Build,"Alt+Shift+D, Q",In Windows,org.eclipse.ant.ui.antShortcut.debug
SVN,Update to Revision,Ctrl+Alt+D,In Windows,org.eclipse.team.svn.ui.command.UpdateToRevisionCommand
Quick Search,Quick Search,Ctrl+Alt+Shift+L,In Windows,org.eclipse.text.quicksearch.commands.quicksearchCommand
Edit,Content Assist,Ctrl+Space,In Dialogs and Windows,org.eclipse.ui.edit.text.contentAssist.proposals
Database Tools,Debug,Ctrl+Alt+D,Editing SQL,org.eclipse.datatools.sqltools.sqleditor.debugAction
Window,Quick Switch Editor,Ctrl+E,In Windows,org.eclipse.ui.window.openEditorDropDown
Search,Declaration in Workspace,Ctrl+G,In Windows,org.eclipse.jdt.ui.edit.text.java.search.declarations.in.workspace
Text Editing,Delete to End of Line,Ctrl+Shift+Delete,Editing Text,org.eclipse.ui.edit.text.delete.line.to.end
Text Editing,Zoom Out,Ctrl+-,Editing Text,org.eclipse.ui.edit.text.zoomOut
Navigate,Open Type in Hierarchy,Ctrl+Shift+H,JavaScript View,org.eclipse.wst.jsdt.ui.navigate.open.type.in.hierarchy
Navigate,Go to Line,Ctrl+L,Editing Text,org.eclipse.ui.edit.text.goto.line
Navigate,Quick Outline,Ctrl+O,Editing Java Source,org.eclipse.jdt.ui.edit.text.java.show.outline
Uncategorized,Add Artifact to Target Platform,Ctrl+Alt+Shift+A,In Windows,org.eclipse.pde.ui.searchTargetRepositories
Edit,Format Active Elements,Ctrl+I,Editing in Structured Text Editors,org.eclipse.wst.sse.ui.format.active.elements
Run/Debug,Coverage Scala Application,"Alt+Shift+E, L",In Windows,org.eclipse.eclemma.ui.scalaShortcut.coverage
Edit,Previous Sibling,Ctrl+Shift+Up,Editing in Structured Text Editors,org.eclipse.wst.xml.ui.previousSibling
Navigate,Show In...,Alt+Shift+W,In Windows,org.eclipse.ui.navigate.showInQuickMenu
Edit,Select All,Ctrl+A,In Dialogs and Windows,org.eclipse.ui.edit.selectAll
Edit,Find Previous,Ctrl+Shift+K,Editing Text,org.eclipse.ui.edit.findPrevious
Text Editing,Previous Word,Ctrl+Left,Editing Text,org.eclipse.ui.edit.text.goto.wordPrevious
Window,Switch to Editor,Ctrl+Shift+E,In Windows,org.eclipse.ui.window.switchToEditor
Search,References in Workspace,Ctrl+Shift+G,In Windows,org.eclipse.jdt.ui.edit.text.java.search.references.in.workspace
Edit,Add Maven Plugin,Ctrl+Shift+P,Editing XML Source,org.eclipse.m2e.core.ui.command.addPlugin
Run/Debug,Coverage,Ctrl+Shift+F11,In Windows,org.eclipse.eclemma.ui.commands.CoverageLast
Text Editing,Insert Line Below Current Line,Shift+Enter,Editing Text,org.eclipse.ui.edit.text.smartEnter
